%depth	d13C	d18O
114.95	0.77	3.71
115	0.95	3.71
115.1	0.55	3.55
115.15	0.62	3.64
115.2	0.14	3.32
115.25	0.74	3.51
115.3	1.05	3.86
115.35	0.69	3.86
115.4	0.73	3.81
115.6	0.7	3.53
115.65	1.02	3.49
115.7	1.02	3.61
115.75	1.01	3.42
115.8	0.5	3.33
115.85	0.95	3.48
115.9	0.21	3.24
115.95	0.65	3.34
116	-0.15	3.17
116.05	0.85	3.58
116.1	0.6	3.5
116.15	0.76	3.43
116.2	0.33	3.59
116.25	0.35	3.54
116.3	-0.12	3.45
116.35	0.85	4.35
116.4	1.04	4.06
116.45	0.97	3.94
116.55	0.72	3.66
116.6	0.74	3.34
116.65	0.76	4.09
116.85	0.25	4.04
117.05	0.77	4.18
117.15	0.26	4.19
117.25	0.59	4.06
117.3	0.65	4.07
117.75	0.46	3.84
117.8	0.62	3.72
117.85	1.21	3.82
117.9	1.06	3.66
118	0.64	3.75
118.05	1.12	3.69
118.1	0.43	3.74
118.15	0.47	3.87
118.25	1	3.7
118.3	0.96	3.59
118.35	1.1	3.69
118.4	1.11	3.69
118.5	0.66	3.68
118.55	0.79	3.6
118.6	0.97	3.58
118.65	0.74	3.14
118.7	0.95	3.58
118.75	0.72	3.49
118.8	0.94	3.67
118.85	0.97	3.53
118.9	0.91	3.56
118.95	0.82	3.59
119	0.97	3.6
119.05	0.85	3.57
119.1	0.85	3.54
119.15	0.98	3.64
119.2	0.73	3.64
119.25	0.78	3.49
119.3	0.74	3.54
119.35	0.82	3.59
119.4	0.84	3.63
119.5	0.68	3.63
119.55	0.71	3.69
119.6	0.9	4.01
119.65	0.74	3.99
119.7	0.66	4.11
119.75	0.95	4.17
119.8	0.83	4.25
119.85	0.89	4.1
119.9	1.03	3.97
119.95	0.87	3.91
120	0.92	3.87
120.05	0.78	3.94
120.1	0.85	4.05
120.15	0.69	3.85
120.2	0.7	4.05
120.25	0.71	3.87
120.3	0.38	3.8
120.35	0.18	3.58
120.45	0.87	3.86
120.5	0.75	4.03
120.51	0.43	3.84
120.55	0.8	3.9
120.6	0.61	3.94
120.65	0.47	3.71
120.7	1.13	3.99
120.71	0.36	3.46
120.75	0.76	3.96
120.8	0.59	4.04
120.9	0.49	3.82
120.91	0.82	3.82
121.11	0.9	3.77
121.21	1.04	3.13
121.31	0.93	3.31
121.36	1.03	3.03
121.46	0.96	3.47
121.56	0.31	2.9
121.61	0.39	3.43
121.66	0.78	3.14
121.71	0.6	3.37
121.76	0.74	3.2
121.81	0.67	3.41
121.86	0.78	3.46
121.91	0.7	3.69
121.96	0.7	3.25
122.01	0.58	3.59
122.06	0.74	3.29
122.11	0.68	3.6
122.21	0.74	3.55
122.26	0.64	3.26
122.31	0.56	3.81
122.41	0.17	3.73
122.46	0.76	4.14
122.51	0.31	3.94
122.67	0.61	4
122.81	0.81	3.73
122.86	0.82	4.11
122.91	0.83	3.38
122.96	0.17	3.3
123.01	0.73	3.61
123.06	0.46	3.15
123.16	0.83	3.49
123.21	0.8	3.39
123.26	0.75	3.5
123.31	0.61	3.23
123.41	0.02	3.06
123.46	0.74	3.46
123.51	0.8	3.68
123.56	0.64	3.64
123.61	0.7	3.4
123.66	0.68	3.55
123.71	0.68	3.46
123.76	0.54	3.75
123.86	0.56	3.73
123.91	0.6	3.36
123.96	0.51	3.83
124.06	0.63	4.03
124.16	0.67	4.01
124.21	0.47	4.13
124.26	0.82	4.03
124.31	0.97	4.13
124.36	0.61	4.05
124.41	0.69	4.22
124.46	0.46	4.22
124.56	0.41	4.15
124.66	0.54	4.21
124.71	0.25	4.36
124.86	0.78	3.39
124.91	0.25	3.96
124.96	0.83	3.25
125.16	-0.14	4.11
125.21	0.42	3.99
125.26	0.25	3.93
125.31	0.43	4.42
125.36	0.85	4.16
125.51	0.62	4.37
125.61	0.57	4.15
125.76	0.3	4.5
125.91	0.75	4.06
126.06	0.41	4.18
126.11	0.69	4.42
126.26	0.53	4.15
126.51	0.65	4.03
126.66	0.59	4.14
126.71	0.41	3.85
126.76	0.51	4.06
126.96	0.44	4.07
127.06	0.52	4.13
127.11	0.56	4
127.16	0.49	4.13
127.31	0.39	3.88
127.36	0.34	4.12
127.41	0.4	4.28
127.56	0.06	3.88
127.61	0.45	3.99
127.66	-0.01	3.69
127.76	0.15	3.87
127.86	0.17	4.09
127.91	0.23	3.91
127.96	0.55	4
128.01	0.13	3.78
128.26	0.21	3.62
128.31	0.07	4.17
128.33	-0.16	3.61
128.36	0.81	3.91
128.66	0.78	3.64
128.73	0.31	3.52
128.83	0.04	3.44
128.93	0.44	3.5
129.03	0.41	3.47
129.23	0.64	3.41
129.83	0.44	3.17
130.03	0.37	3.11
130.13	0.44	3.12
130.44	0.56	3.05
130.48	0.33	3.02
130.58	0.31	3.1
130.63	0.67	3.04
130.73	0.82	3.04
130.78	0.82	3.05
130.83	0.71	3.05
130.84	0.62	3.05
130.88	0.77	2.94
130.93	0.73	2.98
131.03	0.69	2.92
131.08	0.5	2.99
131.18	0.47	3.1
131.24	0.65	3.03
131.28	0.48	3.04
131.33	0.28	3
131.38	0.69	2.94
131.43	0.64	2.98
131.48	0.25	2.98
131.63	0.46	3.08
131.78	0.72	3.12
131.81	0.67	3.23
131.84	0.5	3.01
131.98	0.83	3.05
132.03	0.88	3.06
132.28	0.97	3.79
132.33	0.92	3.1
132.53	0.9	3.19
132.58	0.5	3.22
132.73	0.68	3.19
132.83	0.7	3.34
133.03	0.63	3.63
133.18	0.79	3.39
133.23	0.94	3.4
133.53	0.51	3.31
133.58	0.54	3.27
133.63	0.87	3.45
133.65	0.68	3.32
133.68	0.59	3.61
133.78	0.66	3.32
133.83	0.89	3.36
133.85	0.82	3.45
133.88	0.33	3.11
133.9	0.5	3.49
133.93	0.84	3.29
133.95	0.05	3.33
133.98	0.74	3.33
134	0.23	3.41
134.15	0.6	3.31
134.45	0.73	3.34
134.55	0.76	3.44
134.65	0.69	3.5
134.7	0.88	3.42
134.75	0.87	3.44
134.8	0.72	3.35
134.85	0.64	3.43
134.9	1.04	3.59
134.95	0.89	3.55
135.05	0.72	3.53
135.1	0.68	3.36
135.15	0.62	3.58
135.2	0.66	3.61
135.25	0.5	3.43
135.3	0.83	3.26
135.35	0.15	3.32
135.4	0.14	3.51
135.45	0.53	3.36
135.5	0.41	3.68
135.55	0.5	3.28
135.65	0.61	3.61
135.75	0.66	3.7
135.9	0.31	3.72
135.95	0.94	4.29
136.1	-0.14	4.25
136.4	1.03	3.6
136.5	1.32	3.89
136.6	0.88	3.98
136.7	0.57	3.62
136.75	0.84	3.34
136.85	0.91	3.18
136.9	0.69	3.22
136.95	0.86	3.26
137	0.33	3.62
137.05	0.89	3.37
137.1	0.86	3.22
137.15	0.62	3.09
137.2	0.14	2.99
137.3	0.54	3.05
137.35	0.35	3.12
137.45	0.76	3.88
137.5	0.89	3.35
137.55	0.68	3.34
137.6	0.57	3.44
137.65	0.58	3.5
137.7	0.75	3.7
137.75	0.45	3.5
137.8	0.19	3.57
137.85	0.59	3.52
137.9	0.71	3.47
137.95	0.44	3.83
138	0.37	3.78
138.05	0.43	3.22
138.1	0.27	3.59
138.25	0.25	3.73
138.3	0.46	3.66
138.4	0.32	3.7
138.65	-0.29	3.75
138.7	0.15	3.54
139	-0.32	3.18
139.25	0.44	4.28
139.3	0.51	4.32
139.6	0.89	4.42
140.05	0.3	4.05
140.1	0.33	4.02
140.15	0.35	4.1
140.2	0.35	4.08
140.35	0.61	3.86
140.4	0.25	3.96
140.45	0.44	3.81
140.55	0.39	3.55
140.65	0.69	3.55
140.75	0.29	3.45
140.85	-0.05	3.23
140.9	0.03	3.17
140.95	0.05	3.87
141.1	0.27	3.31
141.32	0.01	3.53
141.37	0.28	3.17
141.42	0.07	3.14
141.47	1.02	3.8
141.62	0.81	3.56
141.67	0.81	3.44
141.72	0.43	3.88
141.87	0.64	3.19
141.92	0.66	3.26
141.97	0.37	3.14
142.42	0.71	3.01
142.57	0.9	3.45
142.67	0.83	3.26
142.72	0.82	3.38
142.74	0.85	3.19
142.77	0.97	3.15
142.82	0.81	3.27
142.87	0.87	3.15
142.92	0.94	3.2
142.97	0.97	3.21
143.02	1.15	3.27
143.07	0.7	3.28
143.12	0.77	3.27
143.14	0.51	3.1
143.28	1.08	3.14
143.34	0.79	3.18
143.42	0.93	3.2
143.47	0.62	3.1
143.52	0.62	3.33
143.57	1.01	3.14
143.64	1.04	3.23
143.74	1.02	3.19
143.77	1	3.18
143.79	1.03	2.92
143.84	1.17	3.35
143.94	1.11	3.3
143.97	1.13	3.22
143.99	0.7	3.35
144.04	0.99	3.26
144.09	1.06	3.41
144.14	1.05	3.2
144.19	0.83	3.49
144.24	1.08	3.04
144.29	1.1	3.01
144.34	1	3.14
144.39	1.26	3.24
144.44	1.02	3.24
144.49	1.14	3.32
144.54	0.85	3.29
144.59	1.09	3.12
144.64	1	3.2
144.69	1.05	3.04
144.74	0.99	3.18
144.79	1.04	3.11
144.84	0.86	3.1
144.89	0.92	3.04
144.94	0.99	3.18
144.99	0.84	2.83
145.04	0.75	3.07
145.09	0.84	2.74
145.14	0.2	3.01
145.19	1.04	3.11
145.24	1.04	3.42
145.29	0.84	2.94
145.39	0.49	3.07
145.44	0.87	3.24
145.49	0.91	3.08
145.84	0.88	3.14
145.88	1.03	3.21
145.96	0.63	3.1
147.16	0.95	3.14
147.24	0.85	3.07
147.32	0.77	3.15
147.36	0.82	3.08
147.4	0.82	3.12
147.4	0.68	3.08
147.44	0.87	3.12
147.48	0.81	3.25
147.52	0.77	3.14
147.56	0.39	3.22
147.6	0.97	3.25
147.64	0.34	3.2
147.64	0.85	2.99
147.68	0.13	2.24
147.72	0.52	3.29
147.76	0.56	3.12
147.8	0.86	3.11
147.84	0.86	3.19
147.88	0.7	3.27
147.92	0.67	3.19
147.96	0.88	3.29
148	0.83	3.13
148.04	0.9	3.17
148.08	0.85	3.1
148.2	0.82	3.4
148.28	0.76	3.27
148.4	0.64	3.27
148.44	0.54	3.16
148.48	0.82	3.29
148.52	0.74	3.27
148.56	0.63	3.22
148.6	0.8	3.22
148.68	0.72	3.23
148.72	0.78	3.18
148.76	0.72	3.17
148.84	0.66	3.34
148.92	0.68	3.32
149.08	0.58	3.28
149.08	0.34	3.26
149.12	0.15	3.12
149.56	0.33	3.8
149.8	0.5	3.98
150.2	0.44	4.28
150.61	0.74	4.02
151.05	0.33	4.1
151.05	0.17	4.19
152.57	0.12	3.66
153.97	0.71	3.27
154.13	0.39	3.19
154.57	0.72	2.98
155.03	0.95	3.02
155.47	0.66	2.96
155.63	0.62	2.99
155.66	0.63	3.02
155.81	0.68	3.3
156.26	0.63	3
156.71	0.41	3.11
157.16	-0.58	2.83
157.76	-0.08	3.91
159.26	0.73	3.67
160.16	0.72	3.36
160.31	0.95	3.32
160.76	1.05	3.24
161.01	0.84	3.23
161.06	0.82	3.2
161.06	0.85	3.25
161.11	0.94	3.25
161.16	0.8	3.25
161.21	0.92	3.37
161.26	0.36	3.3
161.26	0.42	3.32
161.36	0.83	3.35
161.36	0.76	3.32
161.41	0.75	3.28
161.46	0.57	3.19
161.51	0.64	3.3
161.56	0.69	3.39
161.56	0.59	3.44
161.61	0.63	3.4
161.66	0.53	3.49
161.71	0.63	3.5
161.76	0.67	3.34
161.81	0.52	3.39
161.86	0.68	3.3
161.96	0.33	3.57
162.01	0.7	3.55
162.06	-0.21	3.47
162.16	0.43	3.56
162.26	0.34	3.66
162.31	0.45	3.65
162.36	0.06	3.73
162.41	0.2	3.74
162.46	0.05	3.89
162.51	0.36	4.12
162.56	-0.03	3.98
162.61	-0.1	3.98
162.66	-0.19	4.1
162.71	0.25	3.92
162.81	0.19	4.01
162.86	0.64	3.87
162.86	-0.15	4.05
162.91	0.08	3.91
163.01	-0.14	3.87
163.06	0.53	3.73
163.11	-0.06	3.85
163.16	0.3	3.78
163.21	-0.26	3.74
163.46	0.46	3.68
163.55	-0.07	3.61
163.56	-0.02	3.71
163.61	0.24	3.63
163.61	-0.05	3.61
163.61	0.12	3.53
163.61	-0.03	3.63
163.61	0.01	3.43
163.61	0.01	3.41
163.65	0.51	3.5
163.75	0.4	3.85
163.81	0.46	3.68
163.85	0.27	3.76
163.86	0	3.66
163.91	0.08	3.46
163.91	0.12	3.32
163.95	0.27	3.47
163.95	0.17	3.59
164.25	0.65	3.78
164.31	0.58	3.69
164.51	0.07	3.1
164.55	0.6	3.59
164.95	0.65	3.48
165.01	0.09	3.46
165.05	0.87	3.03
165.11	0.58	3.22
165.15	1.29	3.08
165.25	0.48	3.16
165.31	0.9	3.31
165.51	1.01	3.43
165.55	0.48	3.26
165.61	0.88	3.24
165.65	0.91	3.19
165.75	0.99	3.38
165.75	0.92	3.22
165.81	0.94	3.12
165.85	0.86	3.19
165.91	0.82	3.22
165.95	0.62	3.2
166.01	0.78	3.18
166.05	0.66	3.35
166.15	0.73	3
166.21	0.69	3.05
166.25	0.82	3.12
166.31	0.69	3.15
166.35	0.62	3.21
166.41	0.61	3.06
166.45	0.69	3.1
166.51	0.73	3.15
166.55	0.87	3.41
166.61	0.72	3.09
166.65	0.58	3.18
166.71	0.71	3.1
166.75	0.81	3.45
166.81	0.65	3.26
166.85	0.68	3.09
166.91	0.81	3.28
166.95	0.75	3.21
167.05	0.73	3.19
167.15	0.73	3.34
167.21	0.7	3.41
167.25	0.64	3.41
167.31	0.63	3.33
167.35	0.77	3.42
167.45	0.49	3.42
167.55	0.45	3.45
167.61	0.62	3.44
168.25	0.59	3.52
168.45	0.46	3.75
168.75	0.59	3.74
168.85	0.75	3.6
169.15	0.44	3.85
170.38	0.83	3.53
170.48	0.96	3.44
170.63	0.49	3.38
170.68	0.68	3.52
171.38	0.75	3.32
171.43	0.74	3.01
171.48	0.85	2.95
171.68	0.9	3.02
171.98	0.8	3.01
172.08	0.77	2.82
172.13	0.88	2.99
172.18	0.39	3
172.33	0.82	2.95
172.38	0.98	3.14
172.43	0.97	3.01
172.48	0.88	3.11
172.53	1.07	2.94
172.58	0.75	3.07
172.63	0.72	2.85
172.68	1	3.08
172.73	0.79	3.17
172.78	0.81	2.82
172.83	0.66	3
172.88	0.84	2.93
172.88	0.9	3.08
172.98	0.6	3.07
173.03	0.88	2.98
173.08	0.59	2.98
173.13	0.89	2.75
173.18	0.82	3.01
173.23	0.79	3.08
173.28	0.67	2.86
173.33	0.69	3.01
173.38	0.63	2.92
173.43	0.86	2.88
173.48	0.6	3.05
173.48	0.64	3.02
173.53	0.92	2.91
173.58	0.68	2.85
173.63	0.52	3.03
173.68	0.79	2.8
173.73	0.81	2.98
173.78	0.73	2.94
173.83	0.8	2.86
173.88	0.69	2.9
173.93	0.7	3.02
173.98	0.43	3.13
174.08	0.12	3.18
174.09	0.33	3.25
174.15	0.51	3.18
174.59	0.46	3.44
175.05	0.66	3.46
175.09	0.5	3.45
175.09	0.84	3.33
175.09	0.14	3.49
175.25	0.61	3.51
175.29	-0.06	3.51
175.69	0.26	3.68
175.85	0.34	3.62
175.89	0.78	3.64
175.89	0.3	3.49
175.99	0.44	3.59
175.99	0.4	3.88
176.15	0.58	3.68
176.15	0.5	3.7
176.15	0.48	3.78
176.19	0.48	3.57
176.19	0.25	3.71
176.39	0.68	3.54
176.39	0.8	3.61
176.39	0.6	3.61
176.49	0.52	3.74
176.49	0.41	3.87
176.49	0.08	3.61
176.55	0.83	3.95
176.59	0.65	3.87
176.65	0.51	3.8
176.65	0.51	3.83
176.65	0.52	3.79
176.69	0.27	3.81
176.69	0.38	3.77
176.69	0.48	3.85
176.75	0.87	3.75
176.75	0.8	3.73
176.75	0.48	3.8
176.79	0.96	3.69
176.79	0.85	3.76
176.79	0.85	3.74
176.85	0.77	3.82
176.85	0.84	3.72
176.85	0.49	3.85
176.89	0.67	3.74
176.99	0.83	3.78
177.05	-0.04	3.51
177.05	0.28	3.74
177.09	0.41	3.71
177.15	0.22	3.8
177.19	0.63	3.82
177.19	0.95	3.97
177.19	0.2	3.87
177.29	-0.16	3.5
177.35	0.46	3.69
177.59	0.58	3.91
177.79	0.92	3.95
177.79	-0.01	3.86
177.79	0.19	3.98
177.85	1.21	3.92
177.85	0.99	3.96
177.85	1.04	3.99
177.89	1.12	3.86
177.89	0.9	3.84
177.89	0.72	4.02
177.99	0.87	3.93
177.99	0.46	3.91
177.99	0.95	3.83
178.05	1.1	3.67
178.15	0.03	3.75
178.19	0.68	3.55
178.19	0.39	3.57
178.19	0.78	3.53
178.29	0.37	3.52
178.59	0.47	3.57
178.59	0.76	3.38
178.79	0.92	3.47
178.79	0.69	3.72
178.79	1.04	3.63
178.85	0.57	3.55
178.89	0.42	3.46
178.89	0.93	3.47
178.89	0.81	3.33
178.99	0.53	3.34
178.99	0.18	3.45
179.05	1.06	3.38
179.05	0.49	3.3
179.05	0.82	3.34
179.09	0.77	3.31
179.15	1.25	3.28
179.15	0.24	3.45
179.19	1.17	3.24
179.19	1.13	3.29
179.25	0.73	3.38
179.25	0.88	3.3
179.29	0.95	3.4
179.29	0.64	3.42
179.35	1.04	3.29
179.35	0.22	3.28
179.35	1	3.33
179.39	1.04	3.25
179.39	0.59	3.27
179.39	0.93	3.23
179.45	0.87	3.36
179.45	0.65	3.25
179.45	0.63	3.31
179.49	0.78	2.94
179.49	0.56	3.32
179.49	1.03	3.33
179.55	0.51	3.34
179.59	0.62	3.05
179.89	0.65	2.92
180.19	1	3.12
180.49	1.12	3.11
180.89	0.51	3.71
181.09	0.94	3.1
181.39	0.81	3.14
181.69	0.82	3.17
181.99	0.8	3.27
182.29	0.64	3.23
182.59	0.32	3.54
183.19	0.77	3.85
183.73	0.81	4.07
183.79	0.88	3.95
184.33	0.62	4.31
184.63	0.64	4.3
185.23	0.49	3.58
185.83	0.71	3.4
186.43	0.59	3.56
186.73	0.48	3.3
187.03	0.87	3.11
187.33	0.75	2.95
188.83	0.79	2.85
189.13	0.5	2.84
190.03	0.21	2.78
190.33	0.85	2.83
190.63	0.68	2.82
190.93	0.31	2.87
191.23	0.36	2.91
191.53	0.49	2.79
191.83	0.64	2.74
192.13	-0.05	2.38
192.46	1.18	4.75
192.76	-0.06	4.17
193.36	0.65	4.17
194.85	0.84	3.67
195.04	0.84	3.41
195.15	0.75	3.64
195.24	0.36	2.33
196.14	0.98	2.87
196.44	0.96	2.8
196.74	0.89	2.94
197.04	0.99	2.97
197.34	0.79	2.99
197.64	0.77	3.24
197.94	1.1	3.41
198.24	0.67	2.96
198.54	0.95	2.91
200.04	0.88	3.9
201.84	0.9	3.58
202.14	0.81	3.46
202.44	0.96	3.42
202.74	0.79	3.62
202.74	0.95	3.33
203.04	0.7	3.42
203.34	0.87	3.6
203.64	0.48	3.66
203.94	0.13	3.62
204.24	0.03	3.94
204.54	0.15	4.58
204.76	0.8	4.42
204.84	0.78	3.34
205.06	0.1	4.2
205.36	0.29	4.33
205.66	0.77	4.19
205.96	1.15	3.8
206.56	0.8	3.87
207.16	0.28	3.07
207.46	0.44	3.64
207.76	0.03	3.51
208.06	0.51	3.91
208.66	0.61	3.29
209.26	0.79	3.19
209.56	0.45	3.4
209.86	0.55	3.89
211.36	0.47	3.66
211.66	1.19	3.95
212.6	1.27	4.25
214.7	0.19	4.57
214.97	0.22	3.6
215	0.96	5.75
215.87	1.08	3.68
216.17	1.38	3.19
217.07	1.08	3.11
217.37	1.12	2.4
217.67	0.64	3.19
217.97	0.96	3.23
218.27	0.99	3.45
218.87	0.81	3.55
219.17	0.67	3.51
219.47	0.8	3.66
219.77	0.53	3.38
220.37	1	3.79
220.67	0.16	3.45
221.57	0.52	3.18
222.45	1.09	3.4
222.75	1.27	4.25
223.05	0.94	3.42
223.65	0.93	3.05
225.24	0.64	3.68
225.54	0.63	3.72
226.14	0.22	3.94
226.74	0.23	3.54
228.54	0.36	3.66
228.84	0.83	3.54
229.14	0.64	3.59
229.44	0.38	3.37
230.04	0.74	3.23
230.34	0.21	3.25
230.64	0.49	3.39
230.94	0.56	3.25
231.24	0.64	3.24
231.54	0.61	3.26
231.84	0.95	3.22
232.14	0.78	3.25
232.44	0.69	3.28
232.74	0.73	3.18
232.83	0.85	3.47
233.13	0.62	3.12
233.43	0.74	3.5
233.73	0.72	3.61
234.03	0.53	3.44
235.83	1.24	3.78
236.69	0.36	3.39
236.99	0.72	2.42
237.29	0.29	2.91
237.69	0.1	3.21
237.79	0.4	3.48
237.89	-0.83	3.18
239.69	0.1	3.38
239.99	0.27	3.42
240.29	0.59	3.22
241.19	0.39	4.02
243.77	0.5	3.34
244.07	0.9	3.3
244.37	0.79	3.33
244.67	1	3.28
244.97	0.82	3.23
245.27	0.97	3.25
245.57	0.78	3.31
245.83	0.85	3.17
246.43	0.71	3.2
246.73	0.86	3.14
247.49	0.82	3.12
247.79	0.79	3.14
248.09	0.7	3.42
248.4	0.56	3.48
248.69	0.55	3.48
248.99	0.09	3.59
249.24	-0.41	3.2
249.29	-0.27	3.26
252.31	0.69	3.5
252.61	0.95	3.28
252.91	0.77	3.08
253.51	0.28	3.22
253.76	0.4	3.33
253.81	0.12	3.35
254.71	0.72	3.16
254.72	1.12	3.42
255.01	0.71	3.28
255.02	0.63	3.34
255.32	0.78	3.09
255.62	0.76	3.34
255.92	0.9	3.31
256.22	0.92	3.38
256.57	-0.39	2.92
256.62	-0.28	2.84
256.67	-0.09	3.27
256.72	-0.19	2.29
257.12	0.53	3.78
257.32	-0.08	3.47
257.37	-0.24	3.54
259.28	0.61	3.46
260.08	0.55	3.28
261.28	0.78	3.26
261.58	0.8	3.28
261.89	0.73	3.25
262.18	0.84	3.13
262.48	0.27	3.37
263.38	0.58	3.32
263.68	0.73	3.45
263.95	0.26	2.29
264.25	0.59	3.62
265.15	0.78	3.7
266.35	1.4	2.39
266.95	1.18	3.36
267	0.97	3.25
267.25	1.05	3.38
267.36	1.05	3.3
267.66	0.95	3.4
267.96	0.53	3.25
268.26	0.63	3.22
268.56	0.56	3.26
268.86	0.68	3.31
269.16	0.66	3.19
269.46	0.53	3.25
269.76	0.82	3.19
270	0.81	3.31
270.06	0.64	3.26
270.29	0.93	3.18
270.34	0.81	3.3
270.59	0.39	3.25
270.89	0.74	3.48
271.19	0.9	3.23
271.49	0.89	3.17
271.79	0.87	3.23
272.09	0.76	3.32
272.39	0.76	3.48
272.69	0.7	3.39
273	0.34	3.39
273.29	0.18	3.61
273.59	-0.12	3.93
274.19	0.25	3.87
274.49	0.29	4.1
274.79	0.09	3.95
275.09	0.18	3.59
275.39	0.51	3.73
275.69	-0.24	3.79
275.89	-0.07	3.55
277.1	-0.1	3.31
277.22	0.21	3.37
277.25	0.24	3.48
277.3	0.2	3.53
277.4	0.32	3.65
277.71	0.24	3.69
278.66	0.27	3.44
278.96	0.55	3.5
279.86	0.55	3.14
280.46	0.76	3.09
281.36	-0.01	3.09
281.66	0.13	3.05
281.96	0.52	3.18
282.26	0.81	3.08
284.36	-0.11	3.85
285.56	-0.55	3.16
285.86	0.24	3.46
286.17	0.27	3.16
286.46	0.22	3.5
287.06	0.44	3.31
287.36	0.59	3.25
